#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
citizen [ситэзэн][ситизэн][ситизн]|гражданин|сити-город / citizen ситизэн / *гражданин пользуется калькулятором СИТЕЗЕН когда звонит|
 citizenship [ситизэн,шип][ситизншип]|гражданство||
civic [сивик]|гражданский|цивильный / civic сивик цивик / *гражданский был ЦИВИлизованный и умел считать до пяти|
 civil [сивэл][сивл]|гражданский,невоенный|civil сивэл цивил / ЦИВИЛизация это *гражданское общество (civilian сивильэн гражданин)|
 civilian [сэ'вильэн]|гражданский|civil сивэл цивил / ЦИВИЛизация это *гражданское общество (civilian сивильэн гражданин)|
clap [клЭп]|хлопать-в-ладоши|к=х % / clap клэп клап / (замена к-х) *ХЛОПал и *аплодировал|
click [клик]|щелкнуть,щёлкать,щелчок|кликать / click клик / *щёлкать *щелчок значит КЛИКать мышкой|
collaborate [кэ'лЭбэр,еит]|сотрудничать|колаборант / collaborate кэлабэрейт коллаборате / КОЛЛАБОРАнты *сотрудничают с предателями|
 collaboration [кэ,лЭбэр'еишэн][кэ,лЭбэ'реишэн]|сотрудничество||
collapse [кэ'лЭпс]|крах,обрушиться,сложиться|колапс / collapse кэлэпс коллапс / *КОЛЛАПС это *обвал *разрушение *поломка *авария / *депрессия *ломаться *обваливаться|
 collapsible [кэ'лЭпсэбэл][кэ'лЭпсэбл]|складной,разборный||
collect [кэ'лект]|собирать|колектив / collect кэлект коллект / КОЛЕКЦионер *собирает марки / КОЛЛЕКТив *собрался в коллекторе канализации почуствовать запах свободы / emit имит эмит / ЭМИТер *испускает электроны, а коллектор(collect) собирает, а транзистор(transit) перекачивает|
 collection [кэ'лекшэн]|собрание,коллекция|%|
collide [кэ'лаид]|сталкиваться|коллайдер / collide кэлаид коллиде / в андронном КОЛЛАЙДере *столкнулись бозоны с бизонами и произошел большой взрыв и вся галактика исчезла!|
 collision [кэ'лижэн]|столкновение||
combination [камбэ'неишэн][комби'неишэн]|комбинация,сочетание|комбинация из 3х пальцев|
 combine [камбаин][кэм'баин][комбаин]|объединить,соединяться|кух комбайн / combine кэмбайн комбине / *КОМБАЙН *КОМБИНат *объединение *объединять *КОМБИНИровать|
comedian [кэ'ми:диэн]|комик|комедиант|
communicate [кэм'ьюнэ,кеит][кэ'мью:никеит]|общаться|комуникации / communicate кэмьюникейт коммуникате / КОММУНИЦировать т.е *общаться через КОМУНИКАЦии (communication кэмьюникейшен общение - комуникация)|
 communication [кэм,ьюнэ'кеишэн][кэ,мью:ни'кеишэн]|коммуникация,связь,общение|communicate кэмьюникейт коммуникате / КОММУНИЦировать т.е *общаться через КОМУНИКАЦии (communication кэмьюникейшен общение - комуникация)|
 communicative [кэм'ьюнэкэтив][кэ'мью:никэтив]|коммуникативный,общительный||
 community [кэм'ьюнэти][кэм'ьюнити][кэ'мью:нити]|община,сообщество|комуна / community кэмьюнети коммунити / *сообщество КОММУНИстов это община - КОММУНА|
compare [кэм'пер][кэм'пеэ]|сравнивать,сравнить|компаратор / compare кэмпер компаре / КОМПАРатор *сравнивает КОМПАРтию с кпсс и мягкое с теплым (comparison кэмперэсэн сравни)|
 comparable [кампэрэбэл][кэм'перэбэл][кэмпрэбэл][компэрэбл]|сопоставимый,сравнимый||
 incomparable [ин'кампэрэбэл][ин'компэрэбл]|несравненный,несравнимый||
 comparative [кэм'перэтив][кэм'пЭрэтив]|сравнительный||
 comparatively [кэм'перэтивли][кэм'пЭрэтивли]|сравнительно,в-сравнении||
 comparison [кэм'перэсэн][кэм'пЭрисн]|сравнение|compare кэмпер компаре / КОМПАРатор *сравнивает КОМПАРтию с кпсс и мягкое с теплым (comparison кэмперэсэн сравни)|
composition [кампэ'зишэн][компэ'зишэн]|сочинение,композиция|%|
 composer [кэм'поузэр][кэм'пэузэ]|сочинитель,композитор|%|
 compose [кэм'поуз][кэм'пэуз]|составлять,сочинять|compose кэмпоуз композе / КОМПОЗицию *составил *сочинил КОМПОЗитор|
compress [кампрес][кэм'прес][компрес]|компресс,сжимать,прессовать|компресс / compress компрес / КОМПРЕСсор *сжимает и *прессует (press пресс, сжимать)|
 compression [кэм'прешэн]|сжатие|компресия|
conceptual [кэн'сепчуэл][кэн'септьюэл]|концептуальный|%|
 concept [кансепт][консепт]|концепция,понятие,идея|концепция / concept консепт / *КОНЦЕПЦия *понятие *идея *представление *направление|
