#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
cedar[сидэр][си:дэ]|кедр|с=к %/СИДОРов кассир привязал СИДОРову козу к *кедру, выпил СИДР и закусил *кедровыми орехами|
censor[сенсэР]|цензор|с=ц %|censorship[сенсэр,шип][сенсэшип]цензура/-ship сущ
chancellor[чЭнсэлэр][чЭнслэр][ча:нсэлэ]|канцлер|ч=к %%|
chaos[кеиас][кеиос]|хаос|ч=к=х %|chaotic[кеи'атик][кеи'отик]хаотичный/ч=к=х %
charm[чаРм]|обаяние,очаровывать|*ЧАРы % *оЧАРование *ШАРМ *заколдовывать *амулет| charming[чаРмиН]очаровательный,обаятельный =чарующий(имя принца из шрека2)
chat[чЭт]|чат,болтать|+в *ЧАТе %| chatty[чЭти]болтливый ЧАТланИн// chatter[чЭтэР]болтать,болтовня в ЧАТе/*болтать в ЧАТЕ Редко,но метко/супружеская ЧЕТА замерзла и они *стучали-зубами азбуку морзе SOS
cheater[читэр][чи:тэ]|мошенник,жулик|+был ЧИТЕР в игре (сленг)| cheat[чи:т]изменять,жульничать/~ЧИТ-коды к игре/*жульничает ЧИТер/желтая пресса *обманывает ЧИТателей в розовых очках/ЧИТер *надул меня как шарика лошарика/*мошенник уЧИТ *обманывать *жуликов/ЧИТай договор внимательно,а то могуть *надуть через соломинку/*мошенники в ЧИТе *обманули тебя дурака на четыре кулака//cheetah~читэ гепард//chit~чит записка//cheat-on[чит-он][чи:тон]обманывать,изменять/+на
check[чек]|проверять,проверить|ck=к, *проверяй ЧЕК не отходя от кассы! (запросто могут вбросить что не брал или выбить два вместо одного)/*проверяй ЧЕКу у гранаты выходя из танка погулять|checkers~чекэрз *проверяльщики играли в *шашки с ЧЕРКЕЗами с *шашкой наголо
cheek[чи:к]|щека|ч=щ, *ЩЕЕКа %/понЧИК = сковородка(pan~пэн) + *щека-ЧИК = жарим пончики на *сковородке и уплетаем за обе *щеки, вкуснятина!/ЧИК чирик - надувает *щёки цыпа(chick~чик)/бритва в моей руке, плавно ходит по *щеке ЧИК-ЧИК-ЧИК, и нет щетинок и порезался/поруЧИК подставил другую *щеку и застрелил тебя|cheeky~чики мордастый нахальный =пухлощёкий
chef[шеф]|повар,шеф-повар|ч=ш %/*ШЕФ-повар сделал зэкам ЧИФир (а шеф это chief~чиф)|
chemistry[кемэстри][кемистри]|химия|ч=к=х %%/опасная *химия лежит в КАНИСТРЕ/*ХИМИк на *химии СТРИг кусты и поливал их из КАНИСТРЫ отравой| chemical[кемэкэл][кемикэл]химический/-al прил//chemist[кемист]химик/ч=к=х *ХИМИк %%/-ist сущ как артист каратист
chief[чи:ф]|вождь,начальник,главный|ч=ш, *ШЕФ % (не путать с шеф-поваром)/*шеф сидел, поэтому любит ЧИФир|chiefly[чи:фли]главным-образом =главно
choir[кВаиэР]|хор|ч=к=х % но звучит КвАИЭР/*хор КВАкающИх лягушек вокРуг тартилы| chorus[ко:рэс]хор,припев напевал в ХОРЕ С лошадью(horse~хорс)
chord[коРд]|аккорд|ч=к, акКОРД %%, а аккорд это согласие|
cinema[синэмэ]|кино,кинотеатр|СИНЕМАтограф создал *кино и *кинотеатры/в *кинотеатре Смотрю АНИМЭ|cinematic[синэ'мЭтик]кинематографический/с=к %%
circle[сэркэл][сэ:кл]|круг,окружность|~ЦИРКУЛь чертит *круг/ЦИКЛоп с *круглым глазом бегает за тобой по *кругу пещеры, нас не догонят../ЦИКЛ совершает *круг| circular[сэРкьэлэР]круговая ~ЦИРКУЛЯРная пила// encircle[ен'сэркэл][ин'сэ:кл]окружать/en=о гл//circus[сэРкэс]цирк/с=ц %% *круглый
cite[саит]|упоминать,цитировать|с=ц %%/*упоминать тебя на САЙТе и *ЦИТИровать| citation[саи'теишэн]цитирование,цитата/с=ц %//site~сайт местоположение,сайт
citizen[ситэзэн][ситизэн][ситизн]|гражданин|+пользуется калькулятором СИТЕЗЕН посчитать 2+2|city~сити город//citizenship[ситизэн,шип][ситизншип]гражданство/-ship сущ
civil[сивэл][сивл]|гражданский,невоенный|с=ц, ЦИВИЛизация это *гражданское общество| civic[сивик]гражданский был ЦИВИлизованный и умел считать до трёх// civilian[сэ'вильэн]гражданский был ЦИВИЛЬНый *гражданин
clap[клЭп]|хлопать-в-ладоши|к=х, ты *ХЛОПал % и *аплодировал с КЛЯПом во рту/КЛОПа *приХЛОПнул, кишки всмятку|
click[клик]|щелкнуть,щёлкать,щелчок|КЛИКать значит *щёлкать кнопкой мыши|
collaborate[кэ'лЭбэр,еит]|сотрудничать|КОЛЛАБОРАнты *сотрудничают с предателями| collaboration[кэ,лЭбэр'еишэн]сотрудничество/-tion сущ
collapse[кэ'лЭпс]|крах,обрушиться,сложиться|*КОЛЛАПС % это *обвал *разрушение *поломка *авария *ломаться *обваливаться|lapse~лэпс упущение/ЛЕПС по *оплошности надел очки кота базилио//collapsible[кэ'лЭпсэбэл][кэ'лЭпсэбл]складной,разборный =способный сложиться/-able прил
collect[кэ'лект]|собирать|КОЛЕКЦионер *собирает КОЛЛЕКцию марок/КОЛЛЕКТив *собрался в коллекторе канализации почуствовать запах свободы/КОЛЛЕКТор *собирает жидкую грязь и ест|collection[кэ'лекшэн]собрание,коллекция/т=ш=ц %/-tion сущ
