#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
avoid [э'воид]|избегать|войд-пустота / avoid эвоид авоид / *избегает (void-пустота) а-добавили и смысл поменялся|
 avoidance [э'воидэнс]|избегание,уклонение||
await [э'Веит]|ждать,ожидать|вайт-ждать|
awake [э'Веик]|проснуться,бодрствующий|вейк-вставать / awake эВеик аваке / *бодрствующий (wake Вейк просыпаться будить)|
awe [а][о:]|трепет,благоговение|аве мария / owe оу ове / АУ! я заблудился в лесу с волками, кто-то из вас *должен мне деньги (awe оо трепет)|
 awesome [асэм][о:сэм]|потрясающий,здорово,классно|*|
axe [Экс]|топор|(=ax) в экспедицию / axe экс аксе / АКСакал взял *топор в ЭКСпедицию и ускакал / на ЭКСкурсию к старухе за микрокредитом раскольников взял *топор|
axis [Эксэс][Эксис]|ось|% / axis эксис аксис / *ось (похоже немного)(axle эксл *вал)|
backbone [бЭк,боун][бЭкбэун]|позвоночник,хребет|спина+кость|
backdrop [бЭк,драп][бЭкдроп]|фон|назад+капля|
background [бЭк,граунд]|происхождение,предыстория / 2,фон|бэкграунд|
backpack [бЭк,пЭк]|рюкзак|спина+пакет|
 backpacker [бЭк,пЭкэр][бЭк,пЭкэ]|турист,путешественник||
bag [бЭг]|сумка,мешок|багаж / bag бэг баг / БАГаж это куча *сумок и *мешков|
 handbag [хЭнд,бЭг]|сумочка,сумка||
 baggy [бЭги]|мешковатый||
bake [беик]|печь,выпекать|в баке,  бакалея / baker беикэр бакер / *пекарь БАранКИ из баРанов делал в БАКЕ (bake-печь) / БАКАлея (но там нет хлеба, одни сухие смеси) / шерлок хомс жил на БЕЙКер стрит и был *пекарь|
 baker [беикэр][беикэ]|пекарь|байкер / baker беикэр бакер / *пекарь БАранКИ из баРанов делал в БАКЕ (bake-печь) / БАКАлея (но там нет хлеба, одни сухие смеси) / шерлок хомс жил на БЕЙКер стрит и был *пекарь|
bald [бо:лд]|лысый,плешивый|балда / bald болд балд / БОЛДинская осень с *оголенными деревьми / БОЛТ с *лысой резьбой / *лысый БАЛДа работал у *лысого попа парикмахером (bold боулд отважный наглый отчетливый жирный-шрифт) / cheap чип чеап / ЧИП купил дейлу *дешевую гайку на его болт с лысой(bald болд) резьбой|
 baldness [болднэс][бо:лднис]|облысение||
bale [беил]|тюк|баул / на БАЛИ все с *тюками и БАУЛами ездят (bale беил) / bale беил бале / *тюк это БАУЛ (редкое)|
balloon [бэ'лу:н]|воздушный-шар|балон / balloon бэлун баллон / *воздушный-шар надули газом из БАЛЛОНа / БАЛУН добалывался и на *воздушном-шаре улетел в космос|
band [бЭнд]|группа,ансамбль|джаз-банда / band бэнд банд / джаз БАНДа это типа *ансамбль / *группа БАНДитов|
bandage [бЭндидж]|повязка|бандаж / bandage бэндидж бандаге / *БАНДАЖ *бинт *повязка *бинтовать *перевязывать|
banish [бЭниш]|изгонять,отгонять|когда баниш / ban бэн бан / заБАНить это *запрещать писать (banish бэниш высылать изгонять из чата) / banish бэниш баниш / когда спамера БАНИШь то *изгноняешь его из чата (ban бэн *запрещать)|
 banishment [бЭнишмэнт]|изгнание,высылка||
banner [бЭнэр][бЭнэ]|баннер,знамя,транспарант|банер / banner бэнэр баннер / БАНЕР на сайте похож на *знамя и *транспарант|
baptize [бЭп'таиз]|крестить|баптиста / baptize бэптаиз баптизе / *крестить БАПТИСТа|
 baptism [бЭптизэм][бЭптизм]|крещение||
 baptismal [бЭп'тизмэл]|крещенский,крестильный||
bar [бар][ба:]|бар,загораживать / 2,пластина,брусок,прут|бар /  / БАРмен *стойка-в-баре(bar бар) + *человек(man мен), БАРиста это смесь бармена и артиста / bar бар / БАРмен за *стойкой дай выпить с горя и *брусок мыла и веревку|
 barrage [бэр'аж][бЭра:ж]|заградительный-огонь,заграждение|барикада|
 bars [барз][ба:з]|бары,решётка(в-тюрьме)||
barb [барб][ба:б]|колючка,шип,зазубрина|барбароса барби-колючка / barb барб, бааб / у ВАРВаров оружие это *шип и *колючка|
