g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
315. effect [ифект][э'фект][и'фект] | эффект
effected [ифектэд][ифектид][и'фектид] | произведенный
effecting [ифектиН][и'фектиН] | эффект
effects [ифектс][и'фектс] | эффекты
316. sort [сорт] | сортировать
sorted [сортид] | сортированный
sorting [сортиН] | сортировка
sorts [сортс] | сортирует
317. ever [евэр] | когда-либо
318. anything [ени,СиН] | что-угодно
319. cause [каз][коз] | причина
caused [казд][козд] | вызванный
causes [казэз][козиз] | причины
causing [казиН][козиН] | вызывая
320. fall [фал][фол] | падение
fallen [фалэн] | упал
falling [фалиН] | падение
falls [фолз] | падает
fell [фел] | упал
321. deal [дил] | сделка
dealing [дилиН] | дело
deals [дилз] | сделки
dealt [делт] | сданный
322. water [Вотэр] | вода
watered [Вотэрд] | политый
watering [ВотэриН] | полив
waters [Вотэрз] | воды
323. send [сенд] | отправить
sending [сендиН] | отправка
sends [сендз] | посылает
sent [сент] | отправил
324. allow [э'лау] | разрешить
allowed [э'лауд] | допустимый
allowing [э'лауиН] | позволяя
allows [э'лауз] | позволяет
325. soon [сун] | скоро
sooner [сунэр] | скорее
soonest [сунэст] | скорей-всего
326. watch [Вач][Воч] | смотреть
watched [Вачт][Вочт] | смотрел
watches [Вачэз][Вачиз] | часы
watching [ВачиН] | наблюдая
327. base [беис] | база
based [беист] | основанный-на
baser [беисэр] | базовый
bases [беисэз][беисиз][беисиз] | базы
basest [??] | подлейший
basing [беисиН] | базирование
328. probably [прабэ,бли][прабли] | вероятно
329. suggest [сэ'джест] | предложить
suggested [сэ'джестид] | предложенный
suggesting [сэ'джестиН] | предлагая
suggests [сэ'джестс] | предполагает
330. past [пЭст] | прошлое
331. power [пауэр] | мощность
powered [пауэрд] | питание
powering [пауэриН] | питание
powers [пауэрз] | полномочия
332. test [тест] | тест
tested [тестид] | проверено
testing [тестиН] | тестирование
tests [тестс] | тесты
333. visit [визит] | визит
visited [визитид] | посетил
visiting [визитиН] | посещение
visits [визитс] | визиты
334. center [сенэр][сентэр] | центр
centered [сентэрд] | центрированный
centering [сентэриН] | центрирование
centers [сенэрз][сентэрз] | центры
centre [сентэр] | центр
centred [??] | центрированный
centres [сентэрз] | центры
335. grow [гроу] | расти
grew [гру] | вырос
growing [гроуиН] | растет
grown [гроун] | вырос
grows [гроуз] | растет
336. nothing [нэСиН] | ничего
337. return [ри'тэрн][ри'тэрн] | возвращение
returned [ри'тэрнд][ри'тэрнд] | вернулся
returning [ри'тэрниН][ри'тэрниН] | возвращение
returns [ри'тэрнз][ри'тэрнз] | возвращается
338. mother [мэЗэр] | мать
mothered [??] | материнский
mothering [мэЗэриН] | материнство
mothers [мэЗэрз] | матери
339. walk [Вак][Вок] | прогулка
walked [Вокт] | ходил
walking [ВокиН] | ходьба
walks [Вокс] | прогулки
340. matter [мЭтэр] | материя
mattered [мЭтэрд] | имело-значение
mattering [??] | имеет-значение
matters [мЭтэрз] | имеет-значение
341. mind [маинд] | разум
minded [маиндэд][маиндид] | мыслящий
minding [маиндиН] | присмотр
minds [маиндз] | умы
342. value [вЭлью] | значение
valued [вЭльюд] | ценится
values [вЭльюз] | ценности
valuing [вЭльюиН] | оценивание
343. office [офис] | офис
offices [офэсэз][офэсиз] | офисы
344. record [рекэрд][рэ'корд][ри'корд] | запись
recorded [рэ'кордид][ри'кордид] | записано
recording [рэ'кордиН][ри'кордиН] | запись
recordings [ри'кордиНз] | записи
records [рекэрдз][рэ'кордз][ри'кордз] | записи
345. stay [стеи] | остаться
stayed [стеид] | остался
staying [стеииН] | оставаясь
stays [стеиз] | остается
346. force [форс] | сила
forced [форст] | принужденный
forces [форсиз] | силы
forcing [форсиН] | принуждение
347. stop [стап] | стоп
stopped [стапт] | остановился
stopping [стапиН] | остановка
stops [стапс] | останавливается
348. several [севэрэл][севрэл] | несколько
349. light [лаит] | свет
lighted [лаитэд][лаитид] | освещенный
lightest [лаитэст] | самый-легкий
lighting [лаитиН] | освещение
lights [лаитс] | огни
lit [лит] | горит
350. develop [ди'велэп] | развивать
developed [ди'велэпт] | развитый
developing [ди'велэпиН] | развивающийся
